3 1 6 45 42 31 16 12 50 10 9 22 29 41 21 4 36 19 34 17 2 15 40 14 5 39 35 33 43 25 8 27 30 7 18 47 32 49 26 13 48 23 38 20 46 37 44 24 11 28
9 12 19 39 42 16 5 18 29 3 14 35 46 2 27 10 8 32 4 41 36 44 13 48 47 24 6 25 1 33 43 17 38 20 28 40 45 37 11 15 26 31 30 49 22 34 23 50 7 21
43 4 48 46 26 12 9 24 7 14 27 49 2 13 8 22 35 20 34 47 17 30 3 19 15 28 21 40 41 1 42 11 38 39 50 44 45 5 23 29 33 6 31 16 25 32 10 37 36 18
43 14 28 7 18 31 47 16 25 15 39 19 42 32 46 26 34 37 33 30 50 3 13 40 38 6 11 49 2 45 48 22 24 23 29 5 1 12 44 17 41 21 27 8 20 35 9 10 4 36
36 45 37 29 15 12 33 46 5 13 35 27 30 22 43 23 48 21 18 3 28 7 49 19 10 31 39 16 8 20 26 17 11 34 41 40 4 32 1 50 42 44 14 47 24 25 6 9 2 38
25 4 16 20 36 37 22 27 13 2 26 8 50 9 30 1 44 28 19 24 39 45 47 48 23 38 12 18 32 34 49 3 11 33 35 31 15 7 43 42 41 21 10 17 5 40 46 29 6 14
40 22 44 36 21 28 7 23 41 9 37 49 43 29 8 32 26 4 5 25 39 15 13 46 11 16 2 17 18 45 31 24 3 30 38 20 33 12 48 50 42 35 10 19 47 27 34 6 1 14
31 11 9 17 40 6 12 4 26 42 5 39 14 47 25 43 37 33 41 7 10 19 8 30 13 2 20 49 34 18 27 32 21 50 1 35 22 15 24 29 3 16 28 36 45 46 48 23 44 38
24 16 43 32 36 21 17 12 37 40 14 34 41 18 27 23 7 22 33 6 9 19 2 8 49 25 1 47 29 46 20 4 35 30 5 11 45 31 38 10 42 13 50 3 28 26 48 15 44 39
40 20 38 36 48 32 41 4 2 11 31 22 34 47 15 49 5 7 12 21 44 43 35 24 28 14 29 33 50 26 8 16 46 45 3 37 39 9 17 13 25 42 1 30 10 19 23 6 18 27
21 43 27 19 36 34 1 6 33 25 45 17 2 5 50 9 35 12 16 37 26 44 28 30 48 8 47 13 11 42 46 39 24 29 15 41 3 23 18 31 14 49 10 4 22 38 7 20 32 40
17 33 19 18 6 11 42 5 8 41 1 30 4 32 9 14 28 15 21 10 13 24 31 50 38 2 26 44 23 20 46 39 49 22 34 40 35 48 25 16 29 7 27 37 47 45 43 12 36 3
18 2 36 41 20 47 24 6 16 38 39 7 4 49 26 10 44 5 29 31 23 1 43 50 21 25 30 13 8 11 15 32 40 34 45 22 28 48 3 12 37 33 35 27 19 14 42 17 46 9
17 30 46 3 38 48 13 20 6 8 33 37 23 31 41 14 45 5 18 4 11 21 10 43 36 16 40 1 39 28 26 15 35 24 32 29 2 25 7 47 34 12 44 9 19 49 22 42 27 50
37 43 19 46 15 47 4 28 50 8 17 22 23 13 42 16 24 21 35 1 30 26 25 3 31 12 32 20 29 27 2 14 7 36 18 41 34 33 9 40 6 44 49 10 38 39 5 48 11 45
5 39 9 34 42 12 40 4 32 24 20 8 7 33 10 29 11 26 41 18 14 47 45 21 6 2 15 44 46 36 19 48 43 17 16 50 38 3 35 1 25 30 31 49 37 13 27 22 28 23
31 5 29 50 38 11 6 15 32 21 30 25 20 39 28 24 22 9 40 36 35 43 41 16 14 12 46 23 48 47 7 13 3 44 34 8 37 49 19 26 33 1 27 42 18 2 45 10 17 4
11 2 15 27 29 6 7 37 43 19 50 22 13 21 4 39 46 5 26 18 10 47 33 38 34 14 8 44 30 20 35 31 9 28 45 3 40 32 12 16 17 49 23 25 48 42 24 41 1 36
29 38 14 34 50 6 42 16 35 26 10 47 37 28 30 40 13 46 9 41 17 48 12 44 21 31 18 36 32 39 1 49 11 3 43 25 7 5 15 45 27 8 2 33 22 24 4 19 20 23
50 41 18 42 23 25 31 37 34 44 39 1 16 48 28 22 36 24 12 3 6 19 40 33 45 21 9 47 17 8 10 7 11 4 13 30 5 46 20 14 26 2 29 32 49 35 27 15 43 38
